"Data Source","World Development Indicators",

"Last Updated Date","2019-09-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Ethiopia","ETH","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.6504669189453","70.0947418212891","71.3654937744141","","","","","80.8946075439453","78.1546630859375","73.9337615966797","","66.4995498657227","64.0077209472656","59.9315795898438","55.6691093444824","53.4351692199707","52.6474914550781","49.7712097167969","38.8428001403809","34.1634902954102","28.9949607849121","23.3653602600098","23.7997703552246","25.7117691040039","21.7499408721924","20.5098896026611","","13.6830501556396","13.9809703826904","","","",
"Ethiopia","ETH","Children out of school, male (% of male primary school age)","SE.PRM.UNER.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.6461181640625","64.8159408569336","66.8357009887695","","","","","77.3569030761719","73.5930023193359","68.2001571655273","","59.7359390258789","57.7228889465332","54.067268371582","50.1933212280273","48.2412986755371","47.8386688232422","45.9154014587402","35.5595817565918","31.5816993713379","26.5557708740234","20.9595909118652","22.0368690490723","23.8327808380127","19.5826396942139","18.3928394317627","","10.8446598052979","10.8628396987915","","","",
"Ethiopia","ETH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","2265246","2303760","2453401","","","","","3505147","3476496","3331031","","3072425","3045588","2928398","2792814","2763821","2835832","2825467","2274378","2098443","1831564","1494617","1616702","1789655","1497081","1427973","","862316","871716","","","",
"Ethiopia","ETH","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.7332611083984","75.4279327392578","75.9295196533203","","","","","84.4949417114258","82.8049697875977","79.7847213745117","","73.3888320922852","70.404411315918","65.8976516723633","61.243968963623","58.7136116027832","57.5345306396484","53.6917190551758","42.1839408874512","36.7936515808105","31.4846897125244","25.8236503601074","25.6017398834229","27.6319999694824","23.9635200500488","22.6707706451416","","16.5788593292236","17.1626892089844","","","",
"Ethiopia","ETH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","2572996","2653602","2766309","","","","","3761991","3837101","3818673","","3705783","3649312","3508278","3351505","3309899","3356005","3249457","2651297","2399794","2127429","1802125","1837501","2030380","1793692","1724403","","1292130","1349738","","","",
"Ethiopia","ETH","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","4838242","4957362","5219710","","","","","7267138","7313597","7149704","","6778208","6694938","6436676","6143921","6073720","6191837","6074924","4925675","4498237","3958993","3296742","3454203","3820035","3290773","3152376","","2154446","2221454","","","",
"Ethiopia","ETH","Adjusted net enrollment rate, primary, male (% of primary school age children)","SE.PRM.TENR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3538818359375","35.1840591430664","33.1642990112305","","","","","22.6431007385254","26.4069995880127","31.799840927124","","40.2640609741211","42.2771110534668","45.932731628418","49.8066787719727","51.7587013244629","52.1613311767578","54.0845985412598","64.4404220581055","68.4182968139648","73.4442291259766","79.040412902832","77.9631271362305","76.1672210693359","80.4173583984375","81.6071624755859","","89.1553421020508","89.1371612548828","","","",
"Ethiopia","ETH","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2667407989502","24.5720691680908","24.0704803466797","","","","","15.5050601959229","17.1950302124023","20.2152805328369","","26.6111698150635","29.5955905914307","34.1023483276367","38.756031036377","41.2863883972168","42.4654693603516","46.3082809448242","57.8160591125488","63.2063484191895","68.5153121948242","74.1763534545898","74.3982620239258","72.3679962158203","76.0364837646484","77.329231262207","","83.421142578125","82.8373107910156","","","",
"Ethiopia","ETH","Adjusted net enrollment rate, primary (% of primary school age children)","SE.PRM.TENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3495292663574","29.9052600860596","28.6345100402832","","","","","19.1053905487061","21.8453407287598","26.0662403106689","","33.5004501342773","35.9922790527344","40.0684204101563","44.3308906555176","46.5648307800293","47.3525085449219","50.2287902832031","61.1571998596191","65.8365097045898","71.0050430297852","76.6346435546875","76.2002334594727","74.2882308959961","78.2500610351563","79.4901123046875","","86.3169479370117","86.0190277099609","","","",
"Ethiopia","ETH","Primary education, teachers (% female)","SE.PRM.TCHR.FE.ZS","","","","","","","","","","","","12.4241504669189","12.9968395233154","13.7965097427368","14.0083703994751","14.6180000305176","15.4440298080444","16.4232196807861","17.4555797576904","18.1677494049072","20.4549198150635","21.8954391479492","22.742639541626","23.6427593231201","24.4755706787109","24.8163108825684","25.6392097473145","24.2678699493408","23.9845905303955","23.0024394989014","23.7295608520508","23.9008293151855","24.9682006835938","25.5509490966797","26.6214199066162","27.3206405639648","27.6233596801758","28.1897106170654","27.2753791809082","","29.3690204620361","","","","","","","","39.0762100219727","38.0103797912598","36.3276710510254","37.2236518859863","","","","","","","",
"Ethiopia","ETH","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","13514","15196","17200","18646","20851","24469","26152","28816","29079","30687","33322","37854","42347","46622","48178","50922","56684","58400","65993","65450","68370","68399","69743","75736","83113","89189","92775","109487","","86833","","","","","","","","214811","234215","252232","259636","","","","","","","",
"Ethiopia","ETH","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.7170104980469","84.6098709106445","","","","","","","","","",
